,index,ADR_SECTEUR,ANNEEDEPLANTATION,ANNEEREALISATIONDIAGNOSTIC,ANNEETRAVAUXPRECONISESDIAG,CODE,DIAMETREARBREAUNMETRE,ESPECE,GENRE_BOTA,PLU,SEVERITEDIAGNOSTIC,PRIORITEDERENOUVELLEMENT,ARBREDEVOIRIE,STADEDEDEVELOPPEMENT,STADEDEVELOPPEMENTDIAG,TRAITEMENTCHENILLES,TRAVAUXPRECONISESDIAG,TROTTOIR,VIGUEUR,DEFAUT,Collet,Houppier,Racine,Tronc,latitude,longitude,TETEDECHAT,LIERRE,CEPEE
3671,3702,2,2004,2015,2017,ESP10464,10,utilis,Betula,0,0,3,1,0,0,0,1,1,3,0,0,0,0,0,5.725608493354279,45.164767931746745,0,0,0
3672,3703,3,2004,2015,2017,ESP12566,20,?,Acer,0,0,2,0,1,1,0,1,0,1,0,0,0,0,0,5.7365296582356695,45.177208807076006,0,1,1
3673,3704,3,2004,2014,2015,ESP26307,10,lawsoniana,Chamaecyparis,0,0,3,0,1,1,0,2,0,3,0,0,0,0,0,5.721877018982607,45.176095156224775,0,0,0
3674,3705,2,2004,2014,2014,ESP25090,20,nigra,Pinus,0,0,3,0,1,1,3,0,0,3,0,0,0,0,0,5.729327246025455,45.162042560892125,0,0,0
3675,3706,4,2004,2015,2018,ESP21779,10,styraciflua,Liquidambar,0,0,3,1,1,1,0,1,1,3,0,0,0,0,0,5.739153722725899,45.17054436235336,0,0,0
3676,3707,5,2004,2015,2020,ESP18739,10,styraciflua,Liquidambar,0,1,3,0,1,1,0,1,0,3,1,0,1,0,1,5.745580529162494,45.19337958817177,0,0,0
3677,3708,5,2004,2013,2015,ESP10022,30,tomentosa,Tilia,0,0,3,1,1,1,0,0,1,3,0,0,0,0,0,5.7220898131942395,45.18982198340326,0,0,0
3678,3709,4,2004,2015,2018,ESP19535,30,?,Acer,0,1,3,0,1,1,0,2,0,3,1,0,1,0,0,5.7415838448605925,45.18850281665336,0,0,0
3679,3710,5,2004,2015,2017,ESP6016,30,?,Tilia,0,0,3,0,1,1,0,0,0,1,0,0,0,0,0,5.720756898581705,45.1949077285848,0,0,0
3680,3711,2,2004,2015,2017,ESP5142,0,monspessulanum,Acer,0,0,3,0,1,0,0,1,0,3,0,0,0,0,0,5.731927211651491,45.162663164707254,0,0,0
3681,3712,1,2004,2015,2017,ESP21083,10,tulipifera,Liriodendron,0,0,3,1,1,1,0,1,0,3,0,0,0,0,0,5.71844665827763,45.18044629984166,0,0,0
3682,3713,2,2004,2014,2015,ESP16256,50,tomentosa,Tilia,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.734131483534824,45.16310187742711,0,0,0
3683,3714,4,2004,2013,2015,ESP10603,30,concolor,Abies,0,0,3,0,1,1,0,2,0,1,0,0,0,0,0,5.7353449385216635,45.17114428467689,0,0,0
3684,3715,4,2004,2015,2017,ESP10592,30,rubra,Quercus,1,1,2,1,1,1,0,0,0,1,1,0,0,1,0,5.740880361424936,45.1768961839436,0,0,0
3685,3716,2,2004,2013,2014,ESP30427,30,triacanthos,Gleditsia,0,0,3,1,1,1,0,2,1,3,0,0,0,0,0,5.728693643935269,45.164350558314986,0,0,0
3686,3717,4,2004,2015,2016,ESP13754,20,?,Pinus,0,0,3,0,1,1,1,1,0,3,0,0,0,0,0,5.740852631938788,45.188992249793046,0,1,0
3687,3718,3,2009,2014,2015,ESP14111,0,tulipifera,Liriodendron,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,5.721356282302961,45.178820568043044,0,0,0
3688,3719,3,2004,2015,2017,ESP21943,40,altissima,Ailanthus,0,0,2,0,1,1,0,1,0,3,0,0,0,0,0,5.737574513309516,45.17295258669338,0,0,0
3689,3720,3,2004,2014,2016,ESP3812,20,saccharinum,Acer,0,0,3,1,1,1,0,0,1,3,0,0,0,0,0,5.741783791929743,45.179602205715234,0,0,0
3690,3721,1,2004,2015,2016,ESP7155,50,tomentosa,Tilia,0,1,2,0,1,1,0,0,0,3,1,0,1,0,0,5.7054591226382545,45.177664774867765,0,0,0
3691,3722,3,2004,2015,2020,ESP11132,40,negundo,Acer,0,1,2,0,1,1,0,1,0,3,1,0,1,1,0,5.719904153831676,45.1802928115377,0,0,0
3692,3723,1,2004,2013,2015,ESP14121,40,tomentosa,Tilia,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.7022848344503725,45.16359555888172,0,0,0
3693,3724,5,2004,2014,2014,ESP18622,60,nigra,Populus,0,1,2,0,1,2,0,2,0,1,1,0,1,0,0,5.727590323071626,45.184502663312415,0,0,0
3694,3725,3,2004,2015,2017,ESP22673,10,tulipifera,Liriodendron,0,0,2,1,1,1,0,1,0,3,0,0,0,0,0,5.721002507077662,45.180611953784066,0,0,0
3695,3726,5,2004,2014,2016,ESP11451,80,nigra,Pinus,0,0,2,0,1,1,2,2,0,3,1,0,1,0,0,5.733327696772501,45.195988679569425,0,0,0
3696,3727,4,2004,2015,2018,ESP8677,20,colurna,Corylus,0,1,2,0,1,1,0,1,0,1,1,0,0,0,1,5.742869283646285,45.177242581282414,0,0,0
3697,3728,1,2004,2013,2015,ESP7893,10,biloba,Ginkgo,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.708021641349862,45.16513582420363,0,0,0
3698,3729,3,2004,2013,2015,ESP20659,20,pseudoplatanus,Acer,0,0,2,1,1,1,0,0,0,1,1,0,0,0,1,5.72564315452456,45.17520002237075,0,0,0
3699,3730,2,2015,2015,2020,ESP33673,10,ginnala,Acer,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,5.724015639300486,45.16288079128279,0,0,0
3700,3731,1,2009,2015,2017,ESP4158,0,calleryana,Pyrus,0,1,2,1,0,0,0,0,1,3,1,0,0,0,1,5.706676199870043,45.17301091536261,0,0,0
3701,3732,5,2004,2013,2015,ESP28675,10,pseudoplatanus,Acer,0,0,2,1,1,1,0,0,1,3,0,0,0,0,0,5.7343348615926,45.18967820121124,0,0,0
3702,3733,5,2011,2014,2015,ESP28243,10,?,Acer,0,0,3,0,0,0,0,1,0,3,1,0,1,0,0,5.727018453070392,45.184767253757975,0,0,0
3703,3734,4,2004,2014,2016,ESP2223,10,floribunda,Malus,0,1,2,1,1,1,0,0,0,3,0,0,0,0,0,5.744780964929689,45.17852057043498,0,0,0
3704,3735,3,2004,2013,2015,ESP25318,20,pseudoplatanus,Acer,0,0,2,1,1,1,0,0,0,1,0,0,0,0,0,5.734839023964735,45.172635878653615,0,0,0
3705,3736,4,2004,2013,2015,ESP9185,20,serrulata,Prunus,0,0,2,1,1,1,0,0,1,3,0,0,0,0,0,5.744738273887694,45.18194160382242,0,0,0
3706,3737,5,2004,2014,2014,ESP24137,40,cordata,Alnus,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.740247556118529,45.19874470791107,0,1,0
3707,3738,4,2004,2015,2017,ESP6488,10,betulus,Carpinus,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,5.741973997292354,45.18903528209318,0,0,0
3708,3739,4,2004,2015,2018,ESP6482,20,?,Salix,0,0,3,0,1,1,0,1,0,3,0,0,0,0,0,5.741762316241509,45.189757853065935,0,0,0
3709,3740,0,2013,2013,2019,ESP32361,10,?,Fraxinus,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,5.713747491173403,45.19822223064069,0,0,0
3710,3741,0,2014,2014,2020,ESP33234,10,angustifolia,Fraxinus,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,5.70338755646549,45.184856434581235,0,0,0
3711,3742,4,2004,2015,2020,ESP11066,40,cordata,Alnus,0,1,3,0,1,1,0,1,0,3,1,0,1,0,0,5.744297621970326,45.18851814090848,0,0,0
3712,3743,3,2004,2015,2017,ESP21233,10,tulipifera,Liriodendron,0,0,2,1,1,1,0,1,0,3,0,0,0,0,0,5.721129103723118,45.180621959500165,0,0,0
3713,3744,3,2004,2015,2016,ESP26291,30,serrulata,Prunus,0,2,0,0,1,1,0,1,1,1,1,0,1,0,1,5.740977342091678,45.17381939133064,0,0,0
3714,3745,5,2005,2015,2018,ESP26412,10,danielli,Tetradium,0,0,3,1,1,1,0,1,1,3,1,0,1,0,0,5.731369899105688,45.18398932916943,0,0,0
3715,3746,2,2004,2014,2015,ESP29475,50,?,Fraxinus,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.735595895608012,45.16235919952557,0,0,0
3716,3747,1,2004,2013,2015,ESP30595,70,acerifolia,Platanus,0,0,3,1,1,1,0,0,1,3,1,0,0,0,1,5.704550822393527,45.16801964223776,0,0,0
3717,3748,4,2004,2015,2017,ESP11067,20,?,Pinus,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,5.742475308327182,45.188588747056166,0,1,0
3718,3749,1,2011,2014,2014,ESP2791,0,campestris,Acer,0,0,3,1,0,0,0,1,1,3,0,0,0,0,0,5.70551543956964,45.161317115344794,0,0,0
3719,3750,5,2004,2014,2014,ESP13653,10,nigra,Populus,0,2,2,0,1,2,0,2,0,0,1,0,1,0,0,5.728564158052635,45.18430252863648,0,0,0
3720,3751,4,2004,2013,2015,ESP17880,40,acerifolia,Platanus,0,0,3,1,1,1,0,0,0,3,0,0,0,0,0,5.745347208720669,45.17217115768421,0,0,0
3721,3752,0,2005,2015,2018,ESP27052,10,tulipifera,Liriodendron,0,0,3,1,1,0,0,1,0,3,0,0,0,0,0,5.715616248291646,45.18037056597858,0,0,0
3722,3753,5,2004,2015,2020,ESP28133,40,sylvatica,Fagus,0,1,3,1,1,1,0,1,0,3,1,0,0,0,1,5.716639481014159,45.19887571518067,0,0,0
3723,3754,3,2004,2014,2014,ESP19415,40,excelsior,Fraxinus,0,0,2,1,1,1,0,2,1,1,0,0,0,0,0,5.736922296976387,45.18196776011772,0,0,0
3724,3755,4,2004,2013,2015,ESP11796,60,saccharinum,Acer,0,1,2,1,1,1,0,0,1,3,1,0,1,0,1,5.74401090751885,45.18351937928539,0,0,0
3725,3756,3,2004,2015,2017,ESP4961,40,cordata,Alnus,0,0,3,0,1,1,0,0,1,3,1,0,1,0,0,5.720427510784185,45.16117526297408,0,0,0
3726,3757,2,2004,2014,2014,ESP16713,40,?,Acer,0,0,3,1,1,1,0,0,0,3,0,0,0,0,0,5.731557132474686,45.16128449770195,0,0,0
3727,3758,4,2004,2014,2014,ESP30122,50,nigra,Populus,0,3,0,1,1,1,0,3,0,1,1,1,1,0,1,5.7371370210468005,45.18382493052308,0,0,0
3728,3759,1,2004,2015,2017,ESP4150,30,pseudoplatanus,Acer,0,2,0,1,1,1,0,1,0,1,1,0,0,1,1,5.704161227493139,45.171459706086935,0,0,0
3729,3760,3,2004,2013,2015,ESP20672,50,acerifolia,Platanus,0,0,3,1,1,1,0,0,1,3,0,0,0,0,0,5.728826497847175,45.17015915599575,0,0,0
3730,3761,3,2004,2014,2014,ESP19350,30,saccharinum,Acer,0,0,3,1,1,1,0,2,1,3,0,0,0,0,0,5.73166872826188,45.176745951659484,0,0,0
3731,3762,5,2013,2013,2019,ESP31395,10,rubrum,Acer,0,0,3,1,0,0,0,0,1,3,0,0,0,0,0,5.738351741840761,45.19656516695914,0,0,0
3732,3763,2,2004,2015,2018,ESP5650,10,?,Malus,0,0,3,0,1,1,0,1,0,3,1,1,0,0,0,5.736527416900112,45.16562790686848,0,0,0
3733,3764,5,2004,2014,2014,ESP14970,20,nigra,Populus,0,2,2,0,1,2,0,2,0,0,1,0,1,0,0,5.728535845660216,45.18436688493306,0,0,0
3734,3765,4,2004,2015,2020,ESP29385,10,betulus,Carpinus,0,0,3,0,1,1,0,1,0,3,0,0,0,0,0,5.744773564124203,45.18862484207664,0,0,0
3735,3766,0,2004,2014,2014,ESP1864,10,americana,Fraxinus,0,1,2,1,1,1,0,1,0,1,1,0,1,0,1,5.709805284516314,45.18646921069495,0,0,0
3736,3767,0,2004,2013,2015,ESP26467,20,hippocastanum,Aesculus,0,0,3,1,1,1,0,0,1,3,0,0,0,0,0,5.7192251814925665,45.18961865394805,0,0,0
3737,3768,3,2004,2015,2017,ESP9970,40,atlantica,Cedrus,0,0,3,0,1,1,3,0,0,3,0,0,0,0,0,5.719874876820146,45.179059424962006,0,0,0
3738,3769,1,2004,2012,2013,ESP11664,20,betulus,Carpinus,0,3,0,1,1,1,0,0,0,1,1,0,1,0,0,5.715118413409281,45.18002879708063,0,0,0
3739,3770,3,2004,2013,2014,ESP15449,50,acerifolia,Platanus,0,0,3,1,1,1,0,2,0,3,0,0,0,0,0,5.724613318029705,45.171418390453475,0,0,0
3740,3771,4,2004,2015,2017,ESP6281,20,bignonoides,Catalpa,0,0,3,1,1,1,0,1,0,3,1,0,0,0,1,5.733744915011082,45.170810535450386,0,0,0
3741,3772,3,2004,2014,2014,ESP22680,30,nigra,Pinus,0,0,3,0,1,1,3,2,0,3,1,0,1,0,1,5.720225494485809,45.176465747551056,0,0,0
3742,3773,3,2004,2014,2014,ESP6403,80,robur,Quercus,0,0,3,1,1,1,0,2,1,3,1,0,1,0,0,5.737220963203287,45.18231211606565,0,0,0
3743,3774,4,2004,2015,2017,ESP6483,40,acerifolia,Platanus,0,1,2,1,1,1,0,3,1,1,1,0,1,0,0,5.7388442064358545,45.16723821095106,0,0,0
3744,3775,4,2004,2013,2015,ESP16383,40,acerifolia,Platanus,0,0,3,1,1,1,0,0,0,3,0,0,0,0,0,5.74319507066693,45.167685236627136,0,0,0
3745,3776,1,2004,2013,2016,ESP2074,60,acerifolia,Platanus,0,0,3,1,1,1,0,1,0,3,0,0,0,0,0,5.711469227683826,45.16485251998656,1,0,0
3746,3777,3,2015,2015,2020,ESP33702,10,domestica,Prunus,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,5.7185145268302255,45.17737601103224,0,0,0
3747,3778,4,2004,2015,2017,ESP24985,20,?,Acer,0,0,3,0,1,1,0,1,0,3,0,0,0,0,0,5.741429158402593,45.188810380392724,0,0,0
3748,3779,4,2004,2015,2017,ESP22781,30,hippocastanum,Aesculus,0,2,0,1,0,0,0,0,1,3,1,0,0,0,1,5.741671596303364,45.17128939156598,0,0,0
3749,3780,1,2004,2013,2015,ESP9848,60,platanoides,Acer,0,1,3,0,1,1,0,0,0,3,1,0,1,0,1,5.703612252678429,45.165269454767085,0,0,0
3750,3781,4,2004,2014,2017,ESP25871,100,acerifolia,Platanus,0,0,3,0,1,1,0,2,0,3,0,0,0,0,0,5.743325836436194,45.17921179276719,0,0,0
3751,3782,3,2014,2014,2019,ESP32593,10,sinense,ligustrum,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,5.736518911641091,45.17680219406005,0,0,0
3752,3783,2,2004,2014,2016,ESP17732,20,nigra,Pinus,0,0,3,1,1,1,2,0,0,3,0,0,0,0,0,5.724517832748572,45.15940592240531,0,1,0
3753,3784,2,2004,2014,2015,ESP17671,50,tomentosa,Tilia,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.735014828566816,45.16559609896648,0,0,0
3754,3785,1,2004,2013,2015,ESP20649,50,australis,Celtis,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.70220807342606,45.16386189876005,0,0,0
3755,3786,0,2004,2015,2018,ESP6750,10,sylvatica,Fagus,0,0,3,1,1,1,0,1,1,3,0,0,0,0,0,5.714492159152788,45.185822215820245,0,0,0
3756,3787,2,2005,2015,2020,ESP28501,10,grandiflora,Magnolia,0,1,3,0,1,1,0,1,1,3,1,0,1,0,1,5.7253426255055455,45.16194540825537,0,0,0
3757,3788,4,2004,2015,2017,ESP24216,10,?,Pinus,0,0,2,0,1,1,1,0,0,1,0,0,0,0,0,5.739419760245041,45.190962017096936,0,1,0
3758,3789,1,2004,2013,2015,ESP30537,10,campestris,Acer,0,0,3,0,1,1,0,0,1,3,0,0,0,0,0,5.713391934753352,45.17248127694147,0,0,0
3759,3790,4,2004,2013,2015,ESP16096,20,acerifolia,Platanus,0,0,3,1,1,1,0,0,0,3,0,0,0,0,0,5.743493388046633,45.17140792442012,0,0,0
3760,3791,0,2014,2014,2019,ESP31475,10,cerasus,Prunus,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,5.7052711965800205,45.18097230558984,0,0,0
3761,3792,1,2004,2013,2015,ESP29168,30,platanoides,Acer,0,0,3,1,1,1,0,0,0,1,0,0,0,0,0,5.704087381637947,45.16829759939054,0,0,0
3762,3793,2,2004,2014,2015,ESP23887,0,?,Carpinus,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.725304254921185,45.16624251367123,0,0,0
3763,3794,4,2004,2015,2017,ESP13568,30,japonica,Sophora,0,2,0,0,1,1,0,0,0,1,1,0,0,0,1,5.7426371314188405,45.17649606423154,0,0,0
3764,3795,2,2015,2015,2020,ESP32522,10,monspessulanum,Acer,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,5.731247486966077,45.16507862679454,0,0,0
3765,3796,5,2004,2015,2017,ESP1870,70,lawsoniana,Chamaecyparis,0,1,3,0,1,1,0,1,0,3,1,0,1,0,0,5.7405336827518365,45.19581916922693,0,0,0
3766,3797,4,2004,2015,2017,ESP5848,0,?,Alnus,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,5.742401931360116,45.17348073867993,0,0,0
3767,3798,5,2004,2014,2016,ESP22538,10,nordmaniana,Abies,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,5.736671242463594,45.19378386614148,0,0,0
3768,3799,1,2004,2014,2016,ESP21123,20,platanoides,Acer,0,0,2,0,1,1,0,2,0,1,0,0,0,0,0,5.705610794985392,45.1762169746152,0,0,0
3769,3800,5,2004,2014,2016,ESP11524,60,saccharinum,Acer,0,0,2,1,1,1,0,0,1,1,1,0,1,0,0,5.727778920069315,45.19257519955666,0,0,0
3770,3801,0,2004,2014,2014,ESP26034,60,acerifolia,Platanus,0,0,3,1,1,1,0,1,1,3,0,0,0,0,0,5.697999405838295,45.20446665202191,0,0,0
3771,3802,4,2004,2013,2018,ESP14581,60,pseudoacacia,Robinia,0,1,2,0,2,2,0,0,0,1,1,0,0,0,1,5.736130974984007,45.16937260729295,0,0,0
3772,3803,4,2004,2015,2017,ESP29108,10,tomentosa,Tilia,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,5.741869938016019,45.17581771572891,0,0,0
3773,3804,4,2004,2015,2017,ESP13399,10,palustris,Quercus,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,5.74232689559613,45.17339518617055,0,0,0
3774,3805,0,2004,2014,2014,ESP2518,40,acerifolia,Platanus,0,0,3,1,1,1,0,0,0,3,1,0,0,1,0,5.713681491915198,45.19422483734761,0,0,0
3775,3806,4,2004,2015,2017,ESP4594,20,betulus,Carpinus,0,0,3,0,1,1,0,0,0,3,1,0,1,0,0,5.7324117492451325,45.169358424379666,0,0,0
3776,3807,4,2004,2013,2015,ESP11843,40,nigra,Populus,0,0,2,1,1,1,0,0,1,3,0,0,0,0,0,5.744433144029388,45.175618355474505,0,0,0
3777,3808,5,2004,2015,2018,ESP8825,20,styraciflua,Liquidambar,0,1,3,1,1,1,0,1,1,3,0,0,0,0,0,5.723958035942065,45.181192470775756,0,0,0
3778,3809,5,2004,2015,2016,ESP26408,20,tulipifera,Liriodendron,0,0,3,1,1,1,0,1,0,3,0,0,0,0,0,5.72450997012291,45.18120111325193,0,0,0
3779,3810,0,2004,2015,2016,ESP28023,90,acerifolia,Platanus,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.710948438519264,45.199797988399894,0,0,0
3780,3811,2,2004,2015,2017,ESP23918,40,nigra,Pinus,0,0,3,0,1,1,3,0,0,3,0,0,0,0,0,5.722062238307003,45.16272972039805,0,0,0
3781,3812,4,2004,2015,2020,ESP3390,30,excelsior,Fraxinus,0,0,3,0,1,1,0,1,1,1,0,0,0,0,0,5.747037751219078,45.175236978199656,0,0,0
3782,3813,1,2004,2013,2015,ESP22565,80,atlantica,Cedrus,0,0,3,0,1,1,2,0,0,3,0,0,0,0,0,5.706840628467969,45.16369032070525,0,0,0
3783,3814,5,2004,2014,2015,ESP10133,60,acerifolia,Platanus,0,0,2,0,1,1,0,1,0,3,0,0,0,0,0,5.737488843530893,45.194276045863916,0,0,0
3784,3815,5,2004,2015,2017,ESP22093,40,australis,Celtis,0,0,3,0,1,1,0,1,0,3,1,0,0,0,1,5.720580697683449,45.19468037824883,0,0,0
3785,3816,2,2014,2014,2019,ESP32549,10,communis,Pyrus,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,5.7352975987648485,45.16531773723736,0,0,0
3786,3817,2,2004,2013,2017,ESP4553,40,excelsior,Fraxinus,0,0,3,0,1,1,0,2,0,3,1,0,0,1,0,5.734088647725284,45.16686397134326,0,0,0
3787,3818,2,2004,2013,2014,ESP13377,40,acerifolia,Platanus,0,0,3,1,1,1,0,0,0,3,0,0,0,0,0,5.728870162716102,45.164920861463614,0,0,0
3788,3819,4,2004,2015,2020,ESP12906,10,betulus,Carpinus,0,0,3,0,0,0,0,1,0,3,0,0,0,0,0,5.744326574027782,45.18874567759293,0,0,0
3789,3820,4,2004,2013,2016,ESP16116,40,platanoides,Acer,0,0,3,1,1,1,0,0,1,3,0,0,0,0,0,5.737437331697849,45.16814174949741,0,0,0
3790,3821,1,2004,2013,2015,ESP18873,10,colurna,Corylus,0,0,3,1,1,1,0,0,0,3,0,0,0,0,0,5.703549971460834,45.172526845118504,0,0,0
3791,3822,4,2004,2013,2015,ESP7111,40,nigra,Populus,0,0,2,1,1,1,0,0,1,3,0,0,0,0,0,5.744390301036474,45.17566292538355,0,0,0
3792,3823,5,2004,2014,2014,ESP6889,20,nigra,Pinus,0,0,2,0,1,1,3,2,0,3,1,0,1,0,0,5.737857197453267,45.19277381095267,0,0,0
3793,3824,2,2004,2014,2014,ESP25132,40,acerifolia,Platanus,0,0,3,1,1,1,0,1,1,3,0,0,0,0,0,5.72269426601491,45.15990062589889,0,0,0
3794,3825,1,2004,2013,2015,ESP29323,30,acerifolia,Platanus,0,0,3,1,1,1,0,0,1,3,0,0,0,0,0,5.711792379029267,45.16716775633429,0,0,0
3795,3826,2,2004,2015,2017,ESP25261,10,utilis,Betula,0,0,3,1,1,0,0,1,1,3,0,0,0,0,0,5.725504300115494,45.167453889111144,0,0,0
3796,3827,4,2004,2015,2017,ESP22726,20,excelsior,Fraxinus,0,1,3,1,1,1,0,2,1,3,1,0,1,0,0,5.750738163719758,45.17621066200291,0,0,0
3797,3828,3,2004,2013,2015,ESP12607,30,acerifolia,Platanus,0,0,3,1,1,1,0,0,1,3,0,0,0,0,0,5.717944576159146,45.16982172244285,0,0,0
3798,3829,5,2004,2015,2017,ESP6756,50,lawsoniana,Chamaecyparis,0,0,3,0,1,1,0,1,0,3,0,0,0,0,0,5.7397764480793025,45.19538816444221,0,0,0
3799,3830,2,2004,2015,2017,ESP14531,30,decurens,Libocedrus,0,0,3,0,1,1,0,1,0,3,0,0,0,0,0,5.725224519170732,45.16317427082147,0,0,0
3800,3831,5,2014,2014,2020,ESP32969,10,lamarcki,Amélanchier,0,0,3,1,0,0,0,0,1,3,0,0,0,0,0,5.718276439263858,45.18513640640431,0,0,0
3801,3832,1,2004,2014,2016,ESP13956,30,nigra,Pinus,0,0,3,0,1,1,3,0,0,1,0,0,0,0,0,5.7098604170569,45.17522295658824,0,0,0
3802,3833,2,2004,2015,2017,ESP21522,50,nigra,Populus,0,1,2,0,1,1,0,0,0,3,1,0,1,0,1,5.734078700764715,45.16831193973545,0,0,0
3803,3834,0,2004,2014,2014,ESP26040,70,acerifolia,Platanus,0,0,2,1,1,1,0,1,1,1,1,0,1,0,0,5.714285292965394,45.19921565713227,1,0,0
3804,3835,5,2009,2014,2016,ESP16490,40,acerifolia,Platanus,0,0,3,1,0,1,0,0,0,3,0,0,0,0,0,5.726614458283661,45.18516127123124,0,0,0
3805,3836,1,2011,2015,2017,ESP28161,10,tulipifera,Liriodendron,0,0,3,1,0,1,0,0,1,3,0,0,0,0,0,5.7051445921678985,45.17325925188078,0,0,0
3806,3837,3,2015,2015,2020,ESP33695,10,persica,Parrotia,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,5.72418772056822,45.17304350341506,0,0,0
3807,3838,2,2008,2015,2016,ESP10517,0,sylvestris,Pinus,0,0,3,1,0,0,3,1,0,3,0,0,0,0,0,5.731825350643432,45.16825263104011,0,0,0
3808,3839,5,2004,2014,2017,ESP24108,40,hippocastanum,Aesculus,0,0,3,0,1,1,0,0,0,3,1,0,0,1,0,5.729623365523529,45.18451589684404,0,0,0
3809,3840,0,2014,2014,2020,ESP33055,10,excelsior,Fraxinus,0,0,3,1,0,0,0,0,1,3,0,0,0,0,0,5.712169948996994,45.19267154330626,0,0,0
3810,3841,3,2004,2014,2015,ESP21465,60,acerifolia,Platanus,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.72975458845764,45.17691268444826,0,0,0
3811,3842,1,2012,2014,2014,ESP20654,10,glabra,Ulmus,0,0,3,0,0,0,0,0,0,3,1,0,1,0,1,5.705695649473256,45.176968853035376,0,0,0
3812,3843,4,2006,2014,2016,ESP30483,10,platanoides,Acer,0,0,3,1,1,0,0,0,0,3,0,0,0,0,0,5.73510965639871,45.182929398177436,0,0,0
3813,3844,0,2005,2014,2014,ESP25722,0,?,Fraxinus,0,3,1,1,1,1,0,0,0,3,1,0,1,0,1,5.718944627496583,45.190902929607596,0,0,0
3814,3845,1,2004,2013,2015,ESP6940,20,acerifolia,Platanus,0,0,3,1,1,1,0,0,0,3,0,0,0,0,0,5.713300479455576,45.17136005190513,0,0,0
3815,3846,1,2014,2014,2020,ESP31693,10,fragmantissima,Lonicera,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,5.711085695999089,45.17295331566253,0,0,0
3816,3847,4,2004,2015,2018,ESP24321,10,verrucosa,Betula,0,0,3,0,1,1,0,1,0,3,0,0,0,0,0,5.742329811571083,45.17677595442417,0,0,0
3817,3848,1,2004,2014,2014,ESP13828,40,acerifolia,Platanus,0,0,3,1,1,1,0,3,1,3,1,0,1,0,0,5.707294070465302,45.16112989831167,1,0,0
3818,3849,2,2004,2015,2017,ESP24932,30,cordata,Tilia,0,1,3,0,1,1,0,1,1,3,1,0,1,0,0,5.733270630263513,45.15945143889003,0,0,0
3819,3850,2,2004,2013,2016,ESP25473,40,sylvatica,Fagus,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.732855876328345,45.16857955995411,0,0,0
3820,3851,4,2015,2015,2020,ESP33639,10,styraciflua,Liquidambar,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,5.7464349901072245,45.18746531112645,0,0,0
3821,3852,2,2004,2013,2016,ESP5704,20,tomentosa,Tilia,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.733564011535025,45.167428069077864,0,0,0
3822,3853,5,2004,2014,2014,ESP18976,100,acerifolia,Platanus,1,1,2,0,1,2,0,2,0,0,1,0,1,1,0,5.7264957038748605,45.191821638151794,0,0,0
3823,3854,3,2014,2014,2019,ESP31991,10,griseum,Acer,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,5.724098982791946,45.17888321300699,0,0,0
3824,3855,2,2004,2013,2016,ESP1572,10,acerifolia,Platanus,0,0,3,1,1,1,0,1,0,3,0,0,0,0,0,5.716773782850395,45.16143513555943,0,0,0
3825,3856,4,2004,2013,2016,ESP29392,40,montana,Ulmus,0,1,2,1,1,1,0,0,0,3,0,0,0,0,0,5.741908075541067,45.17046069770222,0,0,0
3826,3857,4,2004,2013,2016,ESP10842,60,atlantica,Cedrus,0,0,3,0,1,1,3,0,0,3,0,0,0,0,0,5.735831534023151,45.17042964410551,0,0,0
